image_path,gender
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/0.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/1.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/1.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/2.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/2.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/4.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/4.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/5.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/5.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/6.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/7.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/7.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/8.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/8.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/9.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/10.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/10.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/11.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/11.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/12.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/12.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/13.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/14.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/15.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/15.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/16.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/17.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/17.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/18.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/18.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/19.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/20.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/20.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/21.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/21.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/22.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/23.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/23.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/24.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/24.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/25.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/25.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/26.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/26.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/27.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/28.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/28.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/29.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/29.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/30.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/31.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/31.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/32.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/32.jpg,male
